N,Iterative,Dynamic Programming,Recursive,,,,N,Recursive
1,0,0,0,,,,1,0
2,1,1,1,,,,2,1
3,2,2,2,,,,3,2
4,3,3,4,,,,4,4
5,4,4,7,,,,5,7
6,5,5,12,,,,6,12
7,6,6,20,,,,7,20
8,7,7,33,,,,8,33
9,8,8,54,,,,9,54
10,9,9,88,,,,10,88
11,10,10,143,,,,11,143
12,11,11,232,,,,12,232
13,12,12,376,,,,13,376
14,13,13,609,,,,14,609
15,14,14,986,,,,15,986
16,15,15,1596,,,,16,1596
17,16,16,2583,,,,17,2583
18,17,17,4180,,,,18,4180
19,18,18,6764,,,,19,6764
20,19,19,10945,,,,20,10945
21,20,20,17710,,,,21,17710
22,21,21,28656,,,,22,28656
23,22,22,46367,,,,23,46367
24,23,23,75024,,,,24,75024
25,24,24,121392,,,,25,121392
26,25,25,196417,,,,26,196417
27,26,26,317810,,,,27,317810
28,27,27,514228,,,,28,514228
29,28,28,832039,,,,29,832039
30,29,29,1346268,,,,30,1346268
31,30,30,2178308,,,,31,2178308
32,31,31,3524577,,,,32,3524577
33,32,32,5702886,,,,33,5702886
34,33,33,9227464,,,,34,9227464
35,34,34,14930351,,,,35,14930351
36,35,35,24157816,,,,36,24157816
37,36,36,39088168,,,,37,39088168
38,37,37,63245985,,,,38,63245985
39,38,38,102334154,,,,39,102334154
40,39,39,165580140,,,,40,165580140
41,40,40,267914295,,,,41,267914295
42,41,41,433494436,,,,42,433494436
43,42,42,701408732,,,,43,701408732
44,43,43,1134903169,,,,44,1134903169
45,44,44,1836311902,,,,45,1836311902